Monster,CR,Type,Subtype,Size,Align,Legendary?,Lair?,,,,,,,,,,,,,,,,,,,,
Jackalwere,1/2,Humanoid,Shapechanger,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Kenku,1/4,Humanoid,Kenku,Medium,CN,N,N,,,,,,,,,,,,,,,,,,,,
Killer whale,3,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Kobold,1/8,Humanoid,Kobold,Small,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Kobold, winged (urd)",1/4,Humanoid,Kobold,Small,LE,N,N,,,,,,,,,,,,,,,,,,,,
Kraken,23,Monstrosity,Titan,Gargantuan,CE,Y,Y,,,,,,,,,,,,,,,,,,,,
Kuo-toa,1/4,Humanoid,Kuo-toa,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Kuo-toa, archpriest",6,Humanoid,Kuo-toa,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Kuo-toa, whip",1,Humanoid,Kuo-toa,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Lamia,4,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Lich,21 (22),Undead,,Medium,E (any),Y,Y,,,,,,,,,,,,,,,,,,,,
Lion,1,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Lizard,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Lizard, giant",1/4,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Lizardfolk,1/2,Humanoid,Lizardfolk,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Lizardfolk, lizard king/queen",4,Humanoid,Lizardfolk,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Lizardfolk, shaman",2,Humanoid,Lizardfolk,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, werebear",5,Humanoid,Human,Medium,NG,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, werebear",5,Humanoid,Shapechanger,Medium,NG,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, wereboar",4,Humanoid,Human,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, wereboar",4,Humanoid,Shapechanger,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, wererat",2,Humanoid,Human,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, wererat",2,Humanoid,Shapechanger,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, weretiger",4,Humanoid,Human,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, weretiger",4,Humanoid,Shapechanger,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, werewolf",3,Humanoid,Human,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Lycanthrope, werewolf",3,Humanoid,Shapechanger,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Magmin,1/2,Elemental,,Small,CN,N,N,,,,,,,,,,,,,,,,,,,,
Mammoth,6,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
Manticore,3,Monstrosity,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
Mastiff,1/8,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Medusa,6,Monstrosity,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, dust",1/2,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, ice",1/2,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, magma",1/2,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, mud",1/4,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, smoke",1/4,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Mephit, steam",1/4,Elemental,,Small,NE,N,N,,,,,,,,,,,,,,,,,,,,
Merfolk,1/8,Humanoid,Merfolk,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Merrow,2,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Mimic,2,Monstrosity,Shapechanger,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Mind flayer,7,Aberration,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Mind flayer, arcanist",8,Aberration,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
Minotaur,3,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, duodrone",1/4,Construct,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, monodrone",1/8,Construct,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, pentadrone",2,Construct,,Large,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, quadrone",1,Construct,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Modron, tridrone",1/2,Construct,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
Mule,1/8,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Mummy,3,Undead,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
Mummy lord,15,Undead,,Medium,LE,Y,Y,,,,,,,,,,,,,,,,,,,,
"Myconid, adult",1/2,Plant,,Medium,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Myconid, quaggoth spore servant",1,Plant,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Myconid, sovereign",2,Plant,,Large,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Myconid, spore servant (template)",,Plant,,,,,,,,,,,,,,,,,,,,,,,,,
"Myconid, sprout",0,Plant,,Small,LN,N,N,,,,,,,,,,,,,,,,,,,,
"Naga, bone",4,Undead,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Naga, guardian",10,Monstrosity,,Large,LG,N,N,,,,,,,,,,,,,,,,,,,,
"Naga, spirit",8,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Nightmare,3,Fiend,,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
Nothic,2,Aberration,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
NPC acolyte,1/4,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC archmage,12,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC assassin,8,Humanoid,any,Medium,non-G,N,N,,,,,,,,,,,,,,,,,,,,
NPC bandit,1/8,Humanoid,any,Medium,non-L,N,N,,,,,,,,,,,,,,,,,,,,
NPC bandit captain,2,Humanoid,any,Medium,non-L,N,N,,,,,,,,,,,,,,,,,,,,
NPC berserker,2,Humanoid,any,Medium,C (any),N,N,,,,,,,,,,,,,,,,,,,,
NPC commoner,0,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC cult fanatic,2,Humanoid,any,Medium,non-G,N,N,,,,,,,,,,,,,,,,,,,,
NPC cultist,1/8,Humanoid,any,Medium,non-G,N,N,,,,,,,,,,,,,,,,,,,,
NPC druid,2,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC gladiator,5,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC guard,1/8,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC knight,3,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC mage,6,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC noble,1/8,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC priest,2,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC scout,1/2,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC spy,1,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC thug,1/2,Humanoid,any,Medium,non-G,N,N,,,,,,,,,,,,,,,,,,,,
NPC tribal warrior,1/8,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
NPC veteran,3,Humanoid,any,Medium,any,N,N,,,,,,,,,,,,,,,,,,,,
Octopus,0,Beast,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
"Octopus, giant",1,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Ogre,2,Giant,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Ogre, half- (ogrillon)",1,Giant,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Oni (ogre mage),7,Giant,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Ooze, black pudding",4,Ooze,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Ooze, gelatinous cube",2,Ooze,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Ooze, gray",1/2,Ooze,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Ooze, ochre jelly",2,Ooze,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Orc,1/2,Humanoid,Orc,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Orc war chief,4,Humanoid,Orc,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Orc, eye of Gruumsh",2,Humanoid,Orc,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Orc, orog",2,Humanoid,Orc,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Otyugh,5,Aberration,,Large,N,N,N,,,,,,,,,,,,,,,,,,,,
Owl,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Owl, giant",1/4,Beast,,Large,N,N,N,,,,,,,,,,,,,,,,,,,,
Owlbear,3,Monstrosity,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Panther,1/4,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Pegasus,2,Celestial,,Large,CG,N,N,,,,,,,,,,,,,,,,,,,,
Peryton,2,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Piercer,1/2,Monstrosity,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Pixie,1/4,Fey,,Tiny,NG,N,N,,,,,,,,,,,,,,,,,,,,
Pony,1/8,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Pseudodragon,1/4,Dragon,,Tiny,NG,N,N,,,,,,,,,,,,,,,,,,,,
Purple worm,15,Monstrosity,,Gargantuan,,N,N,,,,,,,,,,,,,,,,,,,,
Quaggoth,2,Humanoid,Quoggoth,Medium,CN,N,N,,,,,,,,,,,,,,,,,,,,
"Quaggoth, thonot",3,Humanoid,Quoggoth,Medium,CN,N,N,,,,,,,,,,,,,,,,,,,,
Quipper,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
Rakshasa,13,Fiend,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
Rat,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Rat, giant",1/8,Beast,,Small,,N,N,,,,,,,,,,,,,,,,,,,,
Raven,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
Remorhaz,11,Monstrosity,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
"Remorhaz, young",5,Monstrosity,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Revenant,5,Undead,,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Rhinoceros,2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Roc,11,Monstrosity,,Gargantuan,,N,N,,,,,,,,,,,,,,,,,,,,
Roper,5,Monstrosity,,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
Rust monster,1/2,Monstrosity,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Saber-toothed tiger,2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Sahuagin,1/2,Humanoid,Sahuagin,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Sahuagin, baron",5,Humanoid,Sahuagin,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Sahuagin, priestess",2,Humanoid,Sahuagin,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
Salamander,5,Elemental,,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Salamander, fire snake",1,Elemental,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Satyr,1/2,Fey,,Medium,CN,N,N,,,,,,,,,,,,,,,,,,,,
Scarecrow,1,Construct,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Scorpion,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Scorpion, giant",3,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Sea horse,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Sea horse, giant",1/2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Shadow,1/2,Undead,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Shadow dragon (template),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shadow dragon, red, young",13,Dragon,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Shambling mound,5,Plant,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Shark, giant",5,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
"Shark, hunter",2,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Shark, reef",1/2,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Shield guardian,7,Construct,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Skeleton,1/4,Undead,,Medium,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Skeleton, minotaur",2,Undead,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Skeleton, warhorse",1/2,Undead,,Large,LE,N,N,,,,,,,,,,,,,,,,,,,,
"Slaad, blue",7,Aberration,,Large,CN,N,N,,,,,,,,,,,,,,,,,,,,
"Slaad, death",10,Aberration,Shapechanger,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Slaad, gray",9,Aberration,,Medium,CN,N,N,,,,,,,,,,,,,,,,,,,,
"Slaad, green",8,Aberration,,Large,CN,N,N,,,,,,,,,,,,,,,,,,,,
"Slaad, red",5,Aberration,,Large,CN,N,N,,,,,,,,,,,,,,,,,,,,
"Slaad, tadpole",1/8,Aberration,,Tiny,CN,N,N,,,,,,,,,,,,,,,,,,,,
"Snake, constrictor",1/4,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Snake, flying",1/8,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Snake, giant constrictor",2,Beast,,Huge,,N,N,,,,,,,,,,,,,,,,,,,,
"Snake, giant poisonous",1/4,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Snake, poisonous",1/8,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
Specter,1,Undead,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Specter, poltergeist",2,Undead,,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Sphinx, androsphinx",17,Monstrosity,,Large,LN,Y,Y,,,,,,,,,,,,,,,,,,,,
"Sphinx, gynosphinx",11,Monstrosity,,Large,LN,Y,Y,,,,,,,,,,,,,,,,,,,,
Spider,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Spider, giant",1,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Spider, giant wolf",1/4,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Spider, phase",3,Monstrosity,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Sprite,1/4,Fey,,Tiny,NG,N,N,,,,,,,,,,,,,,,,,,,,
Stirge,1/8,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
Succubus/incubus,4,Fiend,Shapechanger,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Swarm of bats,1/4,Beast,,Medium (Tiny),,N,N,,,,,,,,,,,,,,,,,,,,
Swarm of insects,1/2,Beast,,Medium (Tiny),,N,N,,,,,,,,,,,,,,,,,,,,
Swarm of poisonous snakes,2,Beast,,Medium (Tiny),,N,N,,,,,,,,,,,,,,,,,,,,
Swarm of quippers,1,Beast,,Medium (Tiny),,N,N,,,,,,,,,,,,,,,,,,,,
Swarm of rats,1/4,Beast,,Medium (Tiny),,N,N,,,,,,,,,,,,,,,,,,,,
Swarm of ravens,1/4,Beast,,Medium (Tiny),,N,N,,,,,,,,,,,,,,,,,,,,
Tarrasque,30,Monstrosity,,Gargantuan,,Y,N,,,,,,,,,,,,,,,,,,,,
Thri-kreen,1,Humanoid,Thri-kreen,Medium,CN,N,N,,,,,,,,,,,,,,,,,,,,
Tiger,1,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
"Toad, giant",1,Beast,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Treant,9,Plant,,Huge,CG,N,N,,,,,,,,,,,,,,,,,,,,
Troglodyte,1/4,Humanoid,Troglodyte,Medium,CE,N,N,,,,,,,,,,,,,,,,,,,,
Troll,5,Giant,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Umber hulk,5,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
Unicorn,5,Celestial,,Large,LG,Y,Y,,,,,,,,,,,,,,,,,,,,
Vampire,13,Undead,Shapechanger,Medium,LE,Y,Y (regional only),,,,,,,,,,,,,,,,,,,,
Vampire spawn,5,Undead,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Vampire, spellcaster",15,Undead,Shapechanger,Medium,LE,Y,Y (regional only),,,,,,,,,,,,,,,,,,,,
"Vampire, warrior",15,Undead,Shapechanger,Medium,LE,Y,Y (regional only),,,,,,,,,,,,,,,,,,,,
Vulture,0,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
"Vulture, giant",1,Beast,,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Wasp, giant",1/2,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Water weird,3,Elemental,,Large,N,N,N,,,,,,,,,,,,,,,,,,,,
Weasel,0,Beast,,Tiny,,N,N,,,,,,,,,,,,,,,,,,,,
"Weasel, giant",1/8,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Wight,3,Undead,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Will-o'-wisp,2,Undead,,Tiny,CE,N,N,,,,,,,,,,,,,,,,,,,,
Winter wolf,3,Monstrosity,,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
Wolf,1/4,Beast,,Medium,,N,N,,,,,,,,,,,,,,,,,,,,
Worg,1/2,Monstrosity,,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
Wraith,5,Undead,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Wyvern,6,Dragon,,Large,,N,N,,,,,,,,,,,,,,,,,,,,
Xorn,5,Elemental,,Medium,N,N,N,,,,,,,,,,,,,,,,,,,,
Yeti,3,Monstrosity,,Large,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Yeti, abominable",9,Monstrosity,,Huge,CE,N,N,,,,,,,,,,,,,,,,,,,,
"Yuan-ti, abomination",7,Monstrosity,Shapechanger,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Yuan-ti, abomination",7,Monstrosity,Yuan-ti,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Yuan-ti, malison",3,Monstrosity,Shapechanger,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Yuan-ti, malison",3,Monstrosity,Yuan-ti,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Yuan-ti, pureblood",1,Monstrosity,Yuan-ti,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Yugoloth, arcanaloth",12,Fiend,Yugoloth,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Yugoloth, mezzoloth",5,Fiend,Yugoloth,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Yugoloth, nycaloth",9,Fiend,Yugoloth,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Yugoloth, ultraloth",13,Fiend,Yugoloth,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
Zombie,1/4,Undead,,Medium,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Zombie, beholder",5,Undead,,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
"Zombie, ogre",2,Undead,,Large,NE,N,N,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
